iter	Passed	Remaining
371	17722	29919
372	17770	29871
373	17816	29821
374	17863	29772
375	17910	29723
376	17958	29677
377	18006	29629
378	18053	29580
379	18098	29529
380	18144	29478
381	18260	29542
382	18320	29514
383	18370	29469
384	18421	29426
385	18475	29387
386	18530	29352
387	18577	29302
388	18622	29250
389	18670	29202
390	18714	29148
391	18761	29100
392	18805	29044
393	18851	28995
394	18897	28944
395	18943	28894
396	18991	28845
397	19036	28794
398	19082	28742
399	19126	28689
400	19174	28642
401	19222	28595
402	19271	28548
403	19316	28496
404	19363	28447
405	19408	28395
406	19454	28344
407	19499	28293
408	19545	28243
409	19589	28190
410	19634	28137
411	19678	28084
412	19723	28033
413	19774	27989
414	19819	27937
415	19867	27891
416	19919	27848
417	19967	27801
418	20018	27758
419	20071	27718
420	20121	27672
421	20173	27630
422	20222	27584
423	20268	27534
424	20319	27491
425	20368	27444
426	20413	27393
427	20462	27347
428	20509	27298
429	20553	27245
430	20600	27195
431	20643	27141
432	20687	27089
433	20731	27036
434	20781	26991
435	20827	26941
436	20873	26892
437	20918	26840
438	20965	26791
439	21009	26738
440	21053	26687
441	21097	26634
442	21141	26581
443	21189	26534
444	21234	26483
445	21278	26430
446	21324	26380
447	21370	26330
448	21413	26278
449	21458	26227
450	21502	26174
451	21546	26122
452	21592	26073
453	21638	26023
454	21685	25974
455	21732	25926
456	21776	25874
457	21822	25824
458	21868	25775
459	21914	25726
460	21961	25676
461	22005	25625
462	22051	25575
463	22097	25526
464	22145	25479
465	22190	25428
466	22237	25379
467	22281	25328
468	22324	25275
469	22373	25229
470	22417	25178
471	22461	25126
472	22505	25074
473	22553	25027
474	22598	24976
475	22643	24926
476	22687	24875
477	22733	24825
478	22778	24775
479	22823	24725
480	22870	24677
481	22918	24629
482	22963	24579
483	23008	24529
484	23053	24479
485	23099	24430
486	23146	24381
487	23194	24334
488	23239	24285
489	23286	24236
490	23335	24191
491	23383	24143
492	23431	24097
493	23478	24049
494	23524	23999
495	23568	23948
496	23616	23901
497	23663	23853
498	23711	23806
499	23761	23761
500	23806	23711
501	23855	23665
502	23904	23619
503	23955	23574
504	23998	23523
505	24047	23476
506	24093	23428
507	24142	23382
508	24190	23335
509	24235	23284
510	24280	23235
511	24328	23188
512	24376	23141
513	24420	23089
514	24466	23040
515	24516	22995
516	24569	22953
517	24624	22913
518	24672	22866
519	24724	22822
520	24771	22774
521	24820	22728
522	24871	22683
523	24935	22651
524	24981	22602
525	25027	22552
526	25074	22505
527	25123	22458
528	25169	22409
529	25220	22364
530	25294	22341
531	25398	22342
532	25458	22306
533	25508	22260
534	25568	22222
535	25636	22192
536	25691	22151
537	25744	22107
538	25795	22062
539	25847	22018
540	25901	21975
541	25950	21928
542	25999	21881
543	26046	21833
544	26094	21784
545	26142	21737
546	26190	21690
547	26239	21642
548	26284	21592
549	26329	21542
550	26376	21493
551	26424	21445
552	26471	21397
553	26515	21346
554	26567	21302
555	26619	21256
556	26668	21210
557	26715	21161
558	26762	21112
559	26811	21066
560	26862	21020
561	26908	20971
562	26956	20923
563	27004	20875
564	27052	20828
565	27104	20783
566	27153	20736
567	27197	20685
568	27244	20636
569	27287	20585
570	27333	20536
571	27381	20488
572	27427	20439
573	27481	20396
574	27536	20352
575	27583	20304
576	27628	20254
577	27677	20207
578	27725	20159
579	27772	20111
580	27819	20062
581	27866	20014
582	27912	19964
583	27960	19917
584	28005	19867
585	28051	19818
586	28095	19767
587	28142	19718
588	28188	19669
589	28237	19622
590	28288	19577
591	28339	19531
592	28383	19481
593	28433	19434
594	28481	19386
595	28528	19338
596	28576	19290
597	28624	19242
598	28672	19194
599	28718	19145
600	28766	19097
601	28814	19050
602	28863	19003
603	28907	18952
604	28957	18906
605	29013	18863
606	29063	18816
607	29113	18770
608	29169	18728
609	29220	18681
610	29269	18635
611	29322	18590
612	29372	18543
613	29420	18495
614	29472	18450
615	29533	18410
616	29582	18363
617	29630	18315
618	29677	18266
619	29725	18218
620	29774	18171
621	29825	18125
622	29877	18079
623	29927	18033
624	29976	17985
625	30028	17940
626	30082	17895
627	30129	17847
628	30175	17798
629	30223	17750
630	30276	17705
631	30327	17659
632	30377	17612
633	30428	17566
634	30475	17517
635	30523	17469
636	30601	17438
637	30705	17422
638	30760	17377
639	30808	17329
640	30868	17288
641	30925	17245
642	30975	17197
643	31030	17153
644	31074	17103
645	31123	17055
646	31172	17007
647	31228	16963
648	31282	16918
649	31333	16871
650	31380	16822
651	31429	16775
652	31492	16734
653	31542	16687
654	31589	16638
655	31635	16589
656	31681	16540
657	31726	16490
658	31774	16441
659	31820	16392
660	31864	16341
661	31909	16292
662	31956	16243
663	32004	16194
664	32052	16146
665	32099	16097
666	32147	16049
667	32193	16000
668	32240	15951
669	32285	15901
670	32331	15852
671	32378	15804
672	32424	15754
673	32469	15705
674	32515	15655
675	32560	15606
676	32606	15556
677	32651	15507
678	32699	15458
679	32745	15409
680	32789	15359
681	32834	15309
682	32880	15260
683	32924	15210
684	32970	15161
685	33016	15112
686	33062	15063
687	33107	15013
688	33154	14965
689	33201	14916
690	33250	14868
691	33296	14819
692	33340	14769
693	33383	14719
694	33428	14669
695	33473	14620
696	33517	14570
697	33565	14522
698	33609	14472
699	33655	14423
700	33701	14374
701	33747	14325
702	33794	14277
703	33838	14227
704	33885	14178
705	33930	14129
706	33977	14081
707	34024	14032
708	34070	13983
709	34116	13934
710	34162	13885
711	34207	13836
712	34253	13787
713	34300	13739
714	34347	13690
715	34391	13641
716	34436	13592
717	34483	13543
718	34528	13494
719	34573	13445
720	34621	13397
721	34667	13348
722	34711	13298
723	34755	13249
724	34797	13199
725	34842	13150
726	34886	13100
727	34930	13051
728	34977	13002
729	35020	12952
730	35065	12903
731	35109	12854
732	35156	12805
733	35202	12757
734	35250	12709
735	35295	12660
736	35343	12612
737	35391	12564
738	35437	12515
739	35483	12467
740	35528	12418
741	35574	12369
742	35622	12321
743	35668	12273
744	35715	12224
745	35759	12175
746	35802	12125
747	35847	12077
748	35896	12029
749	35944	11981
750	35989	11932
751	36033	11883
752	36077	11834
753	36127	11786
754	36172	11737
755	36217	11689
756	36262	11640
757	36309	11592
758	36357	11544
759	36405	11496
760	36452	11448
761	36497	11399
762	36541	11350
763	36587	11301
764	36632	11253
765	36677	11204
766	36721	11155
767	36765	11106
768	36810	11057
769	36854	11008
770	36903	10960
771	36948	10912
772	36993	10863
773	37039	10815
774	37084	10766
775	37131	10718
776	37184	10671
777	37238	10626
778	37293	10579
779	37348	10534
780	37399	10487
781	37451	10440
782	37504	10393
783	37554	10346
784	37600	10298
785	37644	10249
786	37693	10201
787	37747	10155
788	37796	10107
789	37850	10061
790	37896	10013
791	37945	9965
792	37989	9916
793	38036	9868
794	38083	9820
795	38131	9772
796	38178	9724
797	38229	9677
798	38276	9628
799	38320	9580
800	38366	9531
801	38410	9482
802	38459	9435
803	38506	9387
804	38552	9338
805	38598	9290
806	38645	9242
807	38692	9194
808	38739	9146
809	38785	9097
810	38830	9049
811	38875	9000
812	38921	8952
813	39046	8922
814	39101	8875
815	39153	8828
816	39208	8782
817	39262	8735
818	39308	8687
819	39356	8639
820	39404	8591
821	39449	8542
822	39498	8494
823	39546	8446
824	39591	8398
825	39639	8350
826	39686	8301
827	39733	8253
828	39781	8205
829	39824	8156
830	39872	8108
831	39919	8060
832	39969	8013
833	40013	7964
834	40057	7915
835	40103	7867
836	40149	7818
837	40196	7770
838	40242	7722
839	40288	7673
840	40332	7625
841	40384	7578
842	40430	7529
843	40478	7481
844	40523	7433
845	40571	7385
846	40618	7337
847	40666	7289
848	40714	7241
849	40761	7193
850	40805	7144
851	40854	7096
852	40902	7048
853	40949	7000
854	40997	6952
855	41043	6904
856	41091	6856
857	41137	6808
858	41182	6759
859	41228	6711
860	41275	6663
861	41321	6615
862	41368	6567
863	41417	6519
864	41463	6471
865	41510	6423
866	41558	6375
867	41607	6327
868	41653	6279
869	41700	6231
870	41747	6182
871	41794	6134
872	41843	6087
873	41890	6039
874	41937	5991
875	41982	5942
876	42030	5894
877	42077	5846
878	42125	5798
879	42172	5750
880	42217	5702
881	42264	5654
882	42312	5606
883	42358	5558
884	42404	5510
885	42452	5462
886	42498	5414
887	42544	5365
888	42592	5318
889	42639	5270
890	42684	5221
891	42732	5173
892	42786	5126
893	42832	5078
894	42879	5030
895	42927	4982
896	42973	4934
897	43019	4886
898	43064	4838
899	43112	4790
900	43161	4742
901	43208	4694
902	43254	4646
903	43301	4598
904	43350	4550
905	43404	4503
906	43453	4455
907	43503	4407
908	43550	4359
909	43599	4312
910	43645	4263
911	43691	4215
912	43738	4167
913	43784	4119
914	43831	4071
915	43877	4023
916	43923	3975
917	43969	3927
918	44017	3879
919	44063	3831
920	44111	3783
921	44160	3735
922	44207	3687
923	44253	3639
924	44298	3591
925	44346	3543
926	44394	3496
927	44442	3448
928	44491	3400
929	44539	3352
930	44588	3304
931	44635	3256
932	44684	3208
933	44734	3161
934	44781	3113
935	44827	3065
936	44873	3017
937	44922	2969
938	44971	2921
939	45020	2873
940	45068	2825
941	45114	2777
942	45163	2729
943	45212	2682
944	45259	2634
945	45307	2586
946	45354	2538
947	45401	2490
948	45446	2442
949	45491	2394
950	45536	2346
951	45583	2298
952	45629	2250
953	45675	2202
954	45723	2154
955	45769	2106
956	45814	2058
957	45860	2010
958	45908	1962
959	45958	1914
960	46003	1866
961	46048	1818
962	46095	1771
963	46147	1723
964	46195	1675
965	46249	1627
966	46303	1580
967	46351	1532
968	46396	1484
969	46443	1436
970	46490	1388
971	46541	1340
972	46590	1292
973	46640	1245
974	46689	1197
975	46742	1149
976	46795	1101
977	46841	1053
978	46889	1005
979	46937	957
980	46984	909
981	47029	862
982	47077	814
983	47125	766
984	47175	718
985	47225	670
986	47276	622
987	47327	574
988	47376	526
989	47428	479
990	47479	431
991	47526	383
992	47575	335
993	47622	287
994	47668	239
995	47711	191
996	47757	143
997	47805	95
998	47849	47
999	47896	0
