iter	Logloss
0	0.6593061769
1	0.609478564
2	0.5832681907
3	0.5612684806
4	0.5406152213
5	0.5210784427
6	0.498875205
7	0.4857620346
8	0.4706877098
9	0.4554037302
10	0.4415698701
11	0.4215229318
12	0.4148086339
13	0.4063444302
14	0.390107593
15	0.3833716401
16	0.3741007238
17	0.3682245804
18	0.3603443665
19	0.3563161419
20	0.3507159561
21	0.3470589079
22	0.3429600319
23	0.3388756928
24	0.336171928
25	0.3323329081
26	0.3300137252
27	0.3272051695
28	0.3242520314
29	0.3209307845
30	0.3184173572
31	0.3161255965
32	0.3139950638
33	0.3123698113
34	0.3103060622
35	0.3081576145
36	0.306436874
37	0.3048819702
38	0.3035504538
39	0.3015027206
40	0.3001757499
41	0.2987542136
42	0.297882085
43	0.296102048
44	0.2948953285
45	0.2934346699
46	0.2920477923
47	0.29054619
48	0.289393583
49	0.2884118682
50	0.2874664575
51	0.2862015014
52	0.2851943718
53	0.2842503197
54	0.2830645419
55	0.2824891765
56	0.2816723856
57	0.2805994931
58	0.2798689258
59	0.2787064281
60	0.2778736869
61	0.2774643816
62	0.2766984671
63	0.2762375134
64	0.275830486
65	0.2751732677
66	0.2745816717
67	0.2732226431
68	0.2727719555
69	0.2718875636
70	0.271433261
71	0.2710801577
72	0.2706592889
73	0.2702417442
74	0.2697211743
75	0.2693758484
76	0.2690172746
77	0.268454681
78	0.2678278839
79	0.2673837107
80	0.2669833544
81	0.2664518651
82	0.2656321825
83	0.2652987817
84	0.2649814716
85	0.2645743282
86	0.2641690604
87	0.2638719174
88	0.2635376898
89	0.2632365665
90	0.2629796226
91	0.2626547792
92	0.2623865128
93	0.262087111
94	0.2617501622
95	0.2614329019
96	0.261086831
97	0.2610191885
98	0.2605288549
99	0.2601632023
100	0.2599323243
101	0.2596657146
102	0.2592272497
103	0.2588553235
104	0.2585599271
105	0.2582787845
106	0.2579900329
107	0.2576583021
108	0.2573591455
109	0.2571313336
110	0.2567822706
111	0.2565264003
112	0.2561552271
113	0.2558368952
114	0.2552702816
115	0.2550824627
116	0.2548058125
117	0.2545542006
118	0.2541868558
119	0.2539543494
120	0.2537029758
121	0.2536641422
122	0.2533859464
123	0.2529807469
124	0.2526391258
125	0.2523830836
126	0.2522012146
127	0.2518830128
128	0.2516700819
129	0.2511853
130	0.2509880953
131	0.250679003
132	0.2504662271
133	0.2502505485
134	0.2500150396
135	0.24977735
136	0.2494557997
137	0.2491800951
138	0.248642884
139	0.2483948612
140	0.2482288945
141	0.2480394059
142	0.2477403219
143	0.2474834178
144	0.2473031459
145	0.2471354732
146	0.2468583366
147	0.246569773
148	0.2463780278
149	0.2460660584
150	0.2457326585
151	0.2453821042
152	0.2451815978
153	0.2449678382
154	0.2447890383
155	0.2445513783
156	0.2442998387
157	0.2441512856
158	0.2438058317
159	0.2435690113
160	0.2433230187
161	0.2430836331
162	0.2428591318
163	0.2426170475
164	0.242467042
165	0.2422724255
166	0.242014113
167	0.2417984771
168	0.2416141184
169	0.2414133511
170	0.241161286
171	0.2410064334
172	0.2407859668
173	0.2406915511
174	0.2404921473
175	0.2403420398
176	0.2402156712
177	0.2400674821
178	0.2398773548
179	0.2395966982
180	0.2394925014
181	0.2393100283
182	0.239061012
183	0.2388048727
184	0.2384996324
185	0.238290147
186	0.2380100774
187	0.237852853
188	0.2376172428
189	0.2374292265
190	0.2371965613
191	0.2370933773
192	0.2370715637
193	0.2369650241
194	0.2368025937
195	0.2366174917
196	0.2364985913
197	0.2363542134
198	0.2361439666
199	0.2359377203
200	0.2357014007
201	0.2355665214
202	0.2354571216
203	0.2353225612
204	0.2350910808
205	0.2349539111
206	0.2347049693
207	0.2346413501
208	0.2344972262
209	0.2343860453
210	0.2341994176
211	0.234072817
212	0.233969867
213	0.2338411666
214	0.2336894985
215	0.2334205084
216	0.2332738988
217	0.2331278906
218	0.2329661946
219	0.2327962308
220	0.2326257209
221	0.2324553101
222	0.2322370646
223	0.2319881188
224	0.2318273212
225	0.2316285892
226	0.2314882401
227	0.231203765
228	0.2309486379
229	0.2307676402
230	0.2306428117
231	0.2304669029
232	0.2303642028
233	0.2301484751
234	0.2300233039
235	0.2298974136
236	0.22974594
237	0.2296583375
238	0.2295014571
239	0.2292760566
240	0.2291807201
241	0.2290858688
242	0.2289650075
243	0.2287551223
244	0.2285391264
245	0.2283837075
246	0.2281230205
247	0.2279804337
248	0.2277913084
249	0.2275981112
250	0.2274124298
251	0.2272833129
252	0.2271714756
253	0.2270132124
254	0.2269020057
255	0.2267304017
256	0.226551373
257	0.2264258213
258	0.2263451361
259	0.226222312
260	0.2260498593
261	0.225867152
262	0.2258027176
263	0.2256662406
264	0.2255024913
265	0.2253320886
266	0.2252032855
267	0.2250864334
268	0.2249394499
269	0.224744817
270	0.2246175117
271	0.2245079931
272	0.2243764555
273	0.2242432636
274	0.2240604311
275	0.2239070392
276	0.2237121613
277	0.2235318736
278	0.2233342622
279	0.2231666293
280	0.2230196268
281	0.2229772762
282	0.2228100371
283	0.2226124955
284	0.2224372479
285	0.2223425003
286	0.2221784101
287	0.2220636482
